num_comps,RC,RC_std_err,reg-RC $\lambda = 32^{-1}$,reg-RC $\lambda = 32^{-1}$_std_err,reg-RC $\lambda = 64^{-1}$,reg-RC $\lambda = 64^{-1}$_std_err,reg-RC $\lambda = 128^{-1}$,reg-RC $\lambda = 128^{-1}$_std_err,regRC-decayed,regRC-decayed_std_err,BTL-MLE,BTL-MLE_std_err
100,,,0.19265675275494626,0.005727557776863908,0.18664923198464564,0.0069380188527881055,0.18427499699217836,0.005608772072773211,0.19155047515486606,0.005814918499726157,0.21277679383553055,0.005573702166155788
200,,,0.2535276542320097,0.005967427664373737,0.2565183682017816,0.005789308723853844,0.25136401896416166,0.0061178117643654216,0.25810277689594996,0.005991312224838163,0.2648398813575047,0.005683777636141163
400,,,0.3625952795046591,0.005285570363927318,0.3632322085567845,0.005327118419942967,0.36092185398345145,0.005363494994909354,0.3620413219354061,0.005292560425366103,0.36644605878196207,0.005436900976736868
800,,,0.4677955088677555,0.004410619192717913,0.4682503011085428,0.0045243641373388455,0.46811460971137075,0.004689318627831493,0.46721105527638185,0.004815099330343215,0.4741934673366834,0.004679226465765604
1600,,,0.5705854271356783,0.003851899559655116,0.5737336683417085,0.003932846360839336,0.5772110552763818,0.004047678257380499,0.5771155778894472,0.004198884439899821,0.5817839195979899,0.0044496029672883
3200,,,0.6613115577889447,0.003150485169639926,0.6643969849246231,0.0032528320764004495,0.6660904522613065,0.003312215031506711,0.6625452261306533,0.003434033472169807,0.6702361809045226,0.0036239789289108683
6400,,,0.7400527638190955,0.0027889877028242495,0.7428618090452261,0.002759892110802726,0.7453894472361808,0.0026380394488681354,0.7448140703517587,0.0024987327916367766,0.7526507537688442,0.002373557296930512
12800,,,0.8021432160804018,0.002246760551366655,0.8046155778894473,0.0021987964972829395,0.8072386934673368,0.0021325738224157276,0.8079422110552763,0.001992589005014703,0.8128768844221105,0.0018961117744919858
